Instance ID,Refractive Index,Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,Actual Class
1,1,1,1,0,0,0,1,0,0,building_windows_float_processed
2,0,1,1,0,0,0,0,0,0,building_windows_float_processed
3,0,1,1,1,1,0,0,0,0,building_windows_float_processed
4,0,0,1,0,0,1,0,0,0,building_windows_float_processed
5,0,0,1,0,1,0,0,0,0,building_windows_float_processed
6,0,0,1,1,1,1,0,0,1,building_windows_float_processed
7,0,0,1,0,1,1,0,0,0,building_windows_float_processed
8,0,0,1,0,1,1,0,0,0,building_windows_float_processed
9,1,1,1,1,0,1,0,0,0,building_windows_float_processed
10,0,0,1,0,1,1,0,0,1,building_windows_float_processed
11,0,0,0,1,1,1,0,0,1,building_windows_float_processed
12,0,0,1,0,1,1,0,0,0,building_windows_float_processed
13,0,0,0,1,1,1,0,0,1,building_windows_float_processed
14,0,0,1,0,1,0,0,0,1,building_windows_float_processed
15,0,0,1,0,1,1,0,0,0,building_windows_float_processed
16,0,0,1,0,1,1,0,0,0,building_windows_float_processed
17,1,0,1,0,1,1,1,0,0,building_windows_float_processed
18,1,1,1,0,0,0,1,0,0,building_windows_float_processed
19,1,1,1,0,0,0,1,0,0,building_windows_float_processed
20,0,0,1,1,0,0,0,0,1,building_windows_float_processed
21,0,0,1,1,0,0,0,0,1,building_windows_float_processed
22,1,1,1,0,0,0,1,0,0,building_windows_float_processed
23,0,0,1,0,0,1,1,0,0,building_windows_float_processed
24,0,0,1,0,1,1,0,0,0,building_windows_float_processed
25,0,1,1,0,1,0,0,0,0,building_windows_float_processed
26,0,0,1,0,1,1,0,0,0,building_windows_float_processed
27,1,0,0,1,0,1,0,0,0,building_windows_float_processed
28,0,0,0,0,1,1,0,0,0,building_windows_float_processed
29,0,0,1,1,1,1,0,0,0,building_windows_float_processed
30,1,0,1,0,1,1,0,0,0,building_windows_float_processed
31,0,0,1,0,1,1,1,0,1,building_windows_float_processed
32,0,0,1,0,1,1,0,0,0,building_windows_float_processed
33,1,0,0,0,1,1,0,1,1,building_windows_float_processed
34,0,0,0,1,1,1,0,0,1,building_windows_float_processed
35,1,0,1,0,1,1,1,0,0,building_windows_float_processed
36,0,0,0,0,0,1,0,0,0,building_windows_float_processed
37,1,1,1,0,0,0,1,1,0,building_windows_float_processed
38,1,0,0,0,1,1,1,0,0,building_windows_float_processed
39,1,1,1,0,0,0,1,0,0,building_windows_float_processed
40,1,1,1,0,0,0,1,0,0,building_windows_float_processed
41,1,0,1,0,1,1,1,0,0,building_windows_float_processed
42,0,0,0,0,1,1,1,0,0,building_windows_float_processed
43,1,0,0,0,0,1,0,0,0,building_windows_float_processed
44,1,1,1,0,0,0,1,0,0,building_windows_float_processed
45,1,0,0,0,1,1,1,0,1,building_windows_float_processed
46,1,1,0,0,0,0,1,0,0,building_windows_float_processed
47,1,0,0,0,0,1,1,0,1,building_windows_float_processed
48,1,1,1,0,0,0,1,0,1,building_windows_float_processed
49,1,0,1,0,0,0,1,0,0,building_windows_float_processed
50,1,1,0,0,0,1,1,0,0,building_windows_float_processed
51,1,1,1,0,0,0,1,0,1,building_windows_float_processed
52,1,0,0,0,0,1,1,0,1,building_windows_float_processed
53,1,1,0,0,1,0,1,0,0,building_windows_float_processed
54,1,0,0,0,1,0,1,0,0,building_windows_float_processed
55,1,0,0,0,1,0,1,0,1,building_windows_float_processed
56,1,0,0,0,1,1,1,0,1,building_windows_float_processed
